[18/Oct/2022 16:43:27] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[18/Oct/2022 16:43:27] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/templates with glob **/*.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/templates with glob **/*.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/django_filters/templates with glob **/*.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/DRF-P5/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary_storage/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/django_filters/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/dj_rest_auth/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/dj_rest_auth/registration/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/corsheaders/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/DRF-P5/profiles/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/DRF-P5/posts/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/DRF-P5/comments/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/DRF-P5/likes/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:281] Watching dir /workspace/DRF-P5/followers/locale with glob **/*.mo.
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_lzma.cpython-38-x86_64-linux-gnu.so first seen with mtime 1664953721.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/test/__init__.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/rest_framework/templatetags/rest_framework.py first seen with mtime 1664965628.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/yaml/__init__.py first seen with mtime 1664953758.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/tasks.py first seen with mtime 1664953733.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/_distutils_hack/__init__.py first seen with mtime 1664953757.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/__init__.py first seen with mtime 1664954004.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/docutils/parsers/rst/languages/en.py first seen with mtime 1664953759.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/grp.cpython-38-x86_64-linux-gnu.so first seen with mtime 1664953717.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/util/retry.py first seen with mtime 1664953756.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/managers.py first seen with mtime 1665575761.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/cache/backends/base.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/requests/utils.py first seen with mtime 1664953761.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/charset_normalizer/assets/__init__.py first seen with mtime 1664953760.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/keywords.py first seen with mtime 1664954004.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/DRF-P5/posts/views.py first seen with mtime 1665574476.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/concurrent/futures/thread.py first seen with mtime 1664953733.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/sites/admin.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/corsheaders/signals.py first seen with mtime 1665581212.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/DRF-P5/comments/__init__.py first seen with mtime 1665405456.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/postgres/utils.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/files/temp.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/providers/__init__.py first seen with mtime 1665575761.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/loader_tags.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/concurrent/futures/__init__.py first seen with mtime 1664953733.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/pygments/formatters/html.py first seen with mtime 1664953758.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/docutils/parsers/rst/tableparser.py first seen with mtime 1664953759.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/checks/urls.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/dj_rest_auth/__init__.py first seen with mtime 1665575588.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/signals.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/backends/django.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/text.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/DRF-P5/posts/serializers.py first seen with mtime 1665574546.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/servers/__init__.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/http/__init__.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/mimetypes.py first seen with mtime 1664953731.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/fields/proxy.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_socket.cpython-38-x86_64-linux-gnu.so first seen with mtime 1664953720.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/re.py first seen with mtime 1664953731.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/utils.py first seen with mtime 1664953757.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/urllib3/request.py first seen with mtime 1664953756.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/message.py first seen with mtime 1664953733.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/cache/utils.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/formats.py first seen with mtime 1664954005.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/keyword.py first seen with mtime 1664953731.0
[18/Oct/2022 16:43:28] DEBUG [django.utils.autoreload:379] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/deletion.py first seen with mtime 1664954005.0
